GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,B01003_001E,B01003_001M,,,fips,county,state
0500000US05083,"Logan County, Arkansas",1,Total population,21299,*****,AR,,05085,Lonoke County,AR
0500000US05085,"Lonoke County, Arkansas",1,Total population,73824,*****,AR,,05087,Madison County,AR
0500000US05087,"Madison County, Arkansas",1,Total population,16496,*****,AR,,05089,Marion County,AR
0500000US05089,"Marion County, Arkansas",1,Total population,16750,*****,AR,,05091,Miller County,AR
0500000US05091,"Miller County, Arkansas",1,Total population,42875,*****,AR,,05093,Mississippi County,AR
0500000US05093,"Mississippi County, Arkansas",1,Total population,41061,*****,AR,,05095,Monroe County,AR
0500000US05095,"Monroe County, Arkansas",1,Total population,6903,*****,AR,,05097,Montgomery County,AR
0500000US05097,"Montgomery County, Arkansas",1,Total population,8525,*****,AR,,05099,Nevada County,AR
0500000US05099,"Nevada County, Arkansas",1,Total population,8340,*****,AR,,05101,Newton County,AR
0500000US05101,"Newton County, Arkansas",1,Total population,7343,*****,AR,,05103,Ouachita County,AR
0500000US05103,"Ouachita County, Arkansas",1,Total population,22858,*****,AR,,05105,Perry County,AR
0500000US05105,"Perry County, Arkansas",1,Total population,10056,*****,AR,,05107,Phillips County,AR
0500000US05107,"Phillips County, Arkansas",1,Total population,16923,*****,AR,,05109,Pike County,AR
0500000US05109,"Pike County, Arkansas",1,Total population,10234,*****,AR,,05111,Poinsett County,AR
0500000US05111,"Poinsett County, Arkansas",1,Total population,23212,*****,AR,,05113,Polk County,AR
0500000US05113,"Polk County, Arkansas",1,Total population,19476,*****,AR,,05115,Pope County,AR
0500000US05115,"Pope County, Arkansas",1,Total population,63234,*****,AR,,05117,Prairie County,AR
0500000US05117,"Prairie County, Arkansas",1,Total population,8306,*****,AR,,05119,Pulaski County,AR
0500000US05119,"Pulaski County, Arkansas",1,Total population,397931,*****,AR,,05121,Randolph County,AR
0500000US05121,"Randolph County, Arkansas",1,Total population,18442,*****,AR,,05123,St. Francis County,AR
0500000US05123,"St. Francis County, Arkansas",1,Total population,23623,*****,AR,,05125,Saline County,AR
